Episode 413, Reward: 99.7, Epsilon: 0.126
Episode 414, Reward: 246.3, Epsilon: 0.125
Episode 415, Reward: 109.5, Epsilon: 0.124
Episode 416, Reward: 102.1, Epsilon: 0.124
Episode 417, Reward: 115.6, Epsilon: 0.123
Episode 418, Reward: 224.6, Epsilon: 0.122
Episode 419, Reward: 260.0, Epsilon: 0.122
Episode 420, Reward: 167.5, Epsilon: 0.121
Episode 421, Reward: 236.6, Epsilon: 0.121
Episode 422, Reward: 247.9, Epsilon: 0.120
Episode 423, Reward: 128.6, Epsilon: 0.119
Episode 424, Reward: 259.1, Epsilon: 0.119
Episode 425, Reward: 157.6, Epsilon: 0.118
Episode 426, Reward: 252.2, Epsilon: 0.118
Episode 427, Reward: 250.2, Epsilon: 0.117
Episode 428, Reward: 105.6, Epsilon: 0.116
Episode 429, Reward: 288.4, Epsilon: 0.116
Episode 430, Reward: 123.0, Epsilon: 0.115
Episode 431, Reward: 110.7, Epsilon: 0.115
Episode 432, Reward: 218.8, Epsilon: 0.114
Episode 433, Reward: 64.3, Epsilon: 0.114
Episode 434, Reward: 193.5, Epsilon: 0.113
Episode 435, Reward: 224.3, Epsilon: 0.112
Episode 436, Reward: 199.1, Epsilon: 0.112
Episode 437, Reward: 32.4, Epsilon: 0.111
Episode 438, Reward: 252.0, Epsilon: 0.111
Episode 439, Reward: 268.8, Epsilon: 0.110
Episode 440, Reward: 132.2, Epsilon: 0.110
Episode 441, Reward: 55.0, Epsilon: 0.109
Episode 442, Reward: 83.2, Epsilon: 0.109
Episode 443, Reward: 199.3, Epsilon: 0.108
Episode 444, Reward: -34.0, Epsilon: 0.107
Episode 445, Reward: 139.9, Epsilon: 0.107
Episode 446, Reward: 235.4, Epsilon: 0.106
Episode 447, Reward: 251.2, Epsilon: 0.106
Episode 448, Reward: 24.2, Epsilon: 0.105
Episode 449, Reward: 251.4, Epsilon: 0.105
Episode 450, Reward: 115.6, Epsilon: 0.104
Episode 451, Reward: 199.4, Epsilon: 0.104
Episode 452, Reward: 40.0, Epsilon: 0.103
Episode 453, Reward: 236.9, Epsilon: 0.103
Episode 454, Reward: 134.2, Epsilon: 0.102
Episode 455, Reward: 263.9, Epsilon: 0.102
Episode 456, Reward: 103.6, Epsilon: 0.101
Episode 457, Reward: 223.1, Epsilon: 0.101
Episode 458, Reward: 255.7, Epsilon: 0.100
Episode 459, Reward: 83.7, Epsilon: 0.100
Episode 460, Reward: 245.7, Epsilon: 0.099
Episode 461, Reward: 169.9, Epsilon: 0.099
Episode 462, Reward: 144.4, Epsilon: 0.098
Episode 463, Reward: 222.3, Epsilon: 0.098
Episode 464, Reward: 286.7, Epsilon: 0.097
Episode 465, Reward: 166.9, Epsilon: 0.097
Episode 466, Reward: 139.6, Epsilon: 0.096
Episode 467, Reward: 255.2, Epsilon: 0.096
Episode 468, Reward: 277.9, Epsilon: 0.095
Episode 469, Reward: 108.8, Epsilon: 0.095
Episode 470, Reward: 222.3, Epsilon: 0.094
Episode 471, Reward: -72.6, Epsilon: 0.094
Episode 472, Reward: 236.3, Epsilon: 0.093
Episode 473, Reward: 126.2, Epsilon: 0.093
Episode 474, Reward: 218.0, Epsilon: 0.092
Episode 475, Reward: 226.5, Epsilon: 0.092
Episode 476, Reward: 229.9, Epsilon: 0.092
Episode 477, Reward: -7.1, Epsilon: 0.091
Episode 478, Reward: 254.1, Epsilon: 0.091
Episode 479, Reward: 243.5, Epsilon: 0.090
