Episode 122, Reward: -25.6, Epsilon: 0.540
Episode 123, Reward: -141.1, Epsilon: 0.537
Episode 124, Reward: -62.2, Epsilon: 0.534
Episode 125, Reward: -36.3, Epsilon: 0.532
Episode 126, Reward: 27.4, Epsilon: 0.529
Episode 127, Reward: -27.2, Epsilon: 0.526
Episode 128, Reward: -2.6, Epsilon: 0.524
Episode 129, Reward: -33.3, Epsilon: 0.521
Episode 130, Reward: -2.9, Epsilon: 0.519
Episode 131, Reward: 12.7, Epsilon: 0.516
Episode 132, Reward: -69.6, Epsilon: 0.513
Episode 133, Reward: -37.6, Epsilon: 0.511
Episode 134, Reward: -7.2, Epsilon: 0.508
Episode 135, Reward: -20.1, Epsilon: 0.506
Episode 136, Reward: -25.3, Epsilon: 0.503
Episode 137, Reward: -33.1, Epsilon: 0.501
Episode 138, Reward: -3.9, Epsilon: 0.498
Episode 139, Reward: 7.1, Epsilon: 0.496
Episode 140, Reward: 129.3, Epsilon: 0.493
Episode 141, Reward: -2.6, Epsilon: 0.491
Episode 142, Reward: 17.5, Epsilon: 0.488
Episode 143, Reward: -100.0, Epsilon: 0.486
Episode 144, Reward: -28.1, Epsilon: 0.483
Episode 145, Reward: 89.5, Epsilon: 0.481
Episode 146, Reward: 125.1, Epsilon: 0.479
Episode 147, Reward: 91.8, Epsilon: 0.476
Episode 148, Reward: -111.0, Epsilon: 0.474
Episode 149, Reward: -14.5, Epsilon: 0.471
Episode 150, Reward: -42.8, Epsilon: 0.469
Episode 151, Reward: -130.1, Epsilon: 0.467
Episode 152, Reward: 8.9, Epsilon: 0.464
Episode 153, Reward: 30.4, Epsilon: 0.462
Episode 154, Reward: 15.2, Epsilon: 0.460
Episode 155, Reward: -96.4, Epsilon: 0.458
Episode 156, Reward: -33.7, Epsilon: 0.455
Episode 157, Reward: -12.9, Epsilon: 0.453
Episode 158, Reward: -151.2, Epsilon: 0.451
Episode 159, Reward: -104.7, Epsilon: 0.448
Episode 160, Reward: -90.5, Epsilon: 0.446
Episode 161, Reward: 67.9, Epsilon: 0.444
Episode 162, Reward: -40.8, Epsilon: 0.442
Episode 163, Reward: -232.3, Epsilon: 0.440
Episode 164, Reward: -32.4, Epsilon: 0.437
Episode 165, Reward: -68.6, Epsilon: 0.435
Episode 166, Reward: -264.7, Epsilon: 0.433
Episode 167, Reward: 40.5, Epsilon: 0.431
Episode 168, Reward: 22.5, Epsilon: 0.429
Episode 169, Reward: -3.4, Epsilon: 0.427
Episode 170, Reward: -75.5, Epsilon: 0.424
Episode 171, Reward: -121.8, Epsilon: 0.422
Episode 172, Reward: -3.6, Epsilon: 0.420
Episode 173, Reward: -66.1, Epsilon: 0.418
Episode 174, Reward: 61.2, Epsilon: 0.416
Episode 175, Reward: -3.1, Epsilon: 0.414
Episode 176, Reward: 99.1, Epsilon: 0.412
Episode 177, Reward: -22.7, Epsilon: 0.410
Episode 178, Reward: -34.5, Epsilon: 0.408
Episode 179, Reward: 44.9, Epsilon: 0.406
Episode 180, Reward: 103.6, Epsilon: 0.404
Episode 181, Reward: -112.6, Epsilon: 0.402
Episode 182, Reward: -45.9, Epsilon: 0.400
Episode 183, Reward: -22.3, Epsilon: 0.398
Episode 184, Reward: -81.9, Epsilon: 0.396
Episode 185, Reward: -3.3, Epsilon: 0.394
Episode 186, Reward: 37.8, Epsilon: 0.392
Episode 187, Reward: -18.0, Epsilon: 0.390
Episode 188, Reward: -61.7, Epsilon: 0.388
Episode 189, Reward: -102.0, Epsilon: 0.386
Episode 190, Reward: -59.7, Epsilon: 0.384
Episode 191, Reward: 3.7, Epsilon: 0.382
Episode 192, Reward: -76.5, Epsilon: 0.380
Episode 193, Reward: -103.9, Epsilon: 0.378
Episode 194, Reward: 18.3, Epsilon: 0.376
